    date          smb          hml        mktrf          rf          umd
20150513     0.000000     0.000200     0.000100     0.00000    -0.001000
20150514    -0.001000    -0.003500     0.010100     0.00000     0.008700
20150515    -0.002300    -0.002000     0.000500     0.00000    -0.003800
20150518     0.007500    -0.000700     0.004400     0.00000     0.007600
20150519    -0.001100     0.002400    -0.000900     0.00000     0.008800
20150520     0.002200    -0.001300    -0.000500     0.00000    -0.002000
20150521    -0.003000    -0.000200     0.002300     0.00000    -0.005700
20150522    -0.001200    -0.001400    -0.002200     0.00000     0.003000
20150526    -0.000300    -0.000200    -0.010100     0.00000     0.004100
20150527     0.003400    -0.003300     0.009300     0.00000     0.008100
20150528     0.001000     0.001400    -0.001200     0.00000     0.002300
20150529     0.000300     0.000700    -0.005800     0.00000     0.001200
20150601    -0.000400    -0.002200     0.001700     0.00000     0.004300
20150602     0.003100     0.003200    -0.000200     0.00000    -0.008900
20150603     0.008700    -0.002400     0.003900     0.00000     0.003200
20150604    -0.001100    -0.000300    -0.008800     0.00000     0.001700
20150605     0.008000     0.000600     0.000600     0.00000    -0.002400
20150608     0.000200     0.000200    -0.006600     0.00000    -0.000200
20150609    -0.003000     0.003500     0.000200     0.00000    -0.000300
20150610     0.001400     0.001800     0.012000     0.00000    -0.001000
20150611    -0.000900    -0.001000     0.002100     0.00000     0.004500
20150612     0.003200     0.001300    -0.006300     0.00000     0.001000
20150615     0.001200    -0.001100    -0.004500     0.00000     0.003100
20150616     0.001100     0.000100     0.005700     0.00000     0.001400
20150617    -0.002800    -0.006300     0.001600     0.00000     0.001600
20150618     0.002100    -0.004400     0.009900     0.00000     0.008500
20150619     0.005600    -0.002000    -0.004300     0.00000     0.003900
20150622     0.000800    -0.000600     0.006300     0.00000     0.001900
20150623     0.002400     0.002700     0.001200     0.00000    -0.002600
20150624    -0.001100     0.001300    -0.007900     0.00000     0.000100
20150625     0.003700    -0.002000    -0.002500     0.00000     0.009100
20150626    -0.002200     0.004600    -0.000600     0.00000     0.000200
20150629    -0.004200     0.001800    -0.021500     0.00000     0.002800
20150630     0.003200    -0.006600     0.003300     0.00000     0.006900
20150701    -0.007700    -0.000500     0.006000     0.00000     0.016300
20150702    -0.005600    -0.000400    -0.001100     0.00000    -0.003100
20150706     0.001500    -0.005500    -0.003700     0.00000     0.014400
20150707    -0.004400    -0.002500     0.005300     0.00000    -0.003900
20150708    -0.000200     0.000900    -0.016800     0.00000     0.005800
20150709     0.001500    -0.000500     0.002800     0.00000     0.000300
20150710     0.002400    -0.005500     0.012400     0.00000     0.011300
20150713    -0.000800    -0.004300     0.011400     0.00000     0.000100
20150714     0.001500     0.001300     0.004700     0.00000    -0.002900
20150715    -0.008000    -0.000700    -0.001900     0.00000     0.013500
20150716    -0.001500    -0.006300     0.007800     0.00000     0.007700
20150717    -0.005900    -0.006400     0.000500     0.00000    -0.000300
20150720    -0.007200    -0.006100    -0.000100     0.00000     0.014000
20150721     0.000300     0.002900    -0.004700     0.00000    -0.003400
20150722     0.001900     0.002000    -0.001800     0.00000     0.011500
